window,symbol,train_start,train_end,test_start,test_end,is_sharpe,oos_sharpe,oos_return,oos_buy_hold,oos_outperformance,oos_max_dd,oos_trades,oos_win_rate,param_rsi_period,param_hysteresis_upper,param_hysteresis_lower
W6,TSLA,2022-07-01,2022-12-31,2023-01-01,2023-06-30,1.5421965409123521,3.563239108303765,118.40901787,138.20536540240516,-19.796347532405164,-20.359952595036347,3,66.7,14,65,45
W7,NVDA,2023-01-01,2023-06-30,2023-07-01,2023-12-31,3.8432023617172786,-0.24966899550048335,-3.0590856690000168,16.76137033456724,-19.820456003567255,-19.397202405655154,5,60.0,14,55,35
W7,AAPL,2023-01-01,2023-06-30,2023-07-01,2023-12-31,3.971960835502554,-0.900673727407836,-4.55692404500001,0.036371194014339636,-4.59329523901435,-13.500424575392561,4,25.0,21,55,42
W7,MSFT,2023-01-01,2023-06-30,2023-07-01,2023-12-31,2.5783359812911297,-0.04907837722492017,0.6536296569999545,11.257729518624803,-10.60409986162485,-14.997180518935108,4,25.0,21,55,35
W7,GOOGL,2023-01-01,2023-06-30,2023-07-01,2023-12-31,1.7786119526497222,-1.1926708866141493,-11.07204485500004,16.505421184320255,-27.577466039320296,-16.295376690486844,6,33.3,21,55,45
W7,AMZN,2023-01-01,2023-06-30,2023-07-01,2023-12-31,2.3972152349485425,0.8525660520800227,11.349956551999973,16.679465519889412,-5.3295089678894385,-10.736709515621516,3,33.3,21,55,35
W7,META,2023-01-01,2023-06-30,2023-07-01,2023-12-31,3.522223288919035,-0.1864485368352464,-1.5557010755000378,23.75358366547793,-25.30928474097797,-16.246451008001202,5,40.0,21,55,42
W7,TSLA,2023-01-01,2023-06-30,2023-07-01,2023-12-31,3.8232346801237247,-0.08567487901707677,-1.7841461385000423,-11.200057179615463,9.415911041115422,-14.629766935064728,5,20.0,14,55,45
W8,NVDA,2023-07-01,2023-12-31,2024-01-01,2024-06-30,0.503774768028509,-0.31802808907848945,-80.04204669300005,-74.35226706527155,-5.689779627728498,-89.94985489234496,4,50.0,14,55,45
W8,AAPL,2023-07-01,2023-12-31,2024-01-01,2024-06-30,0.22053981036925283,0.9497568749485579,10.622954124999984,13.456151691445829,-2.833197566445845,-12.813617692920506,5,20.0,14,58,45
W8,MSFT,2023-07-01,2023-12-31,2024-01-01,2024-06-30,1.0836942169033017,0.8465129643864242,7.870435837999956,20.51392671286434,-12.643490874864383,-9.099235101678259,6,66.7,14,58,45
W8,GOOGL,2023-07-01,2023-12-31,2024-01-01,2024-06-30,-0.02717195429969513,1.3370653625701205,19.92724892549993,31.83035391184774,-11.90310498634781,-14.309205540900363,3,33.3,28,55,35
W8,AMZN,2023-07-01,2023-12-31,2024-01-01,2024-06-30,0.8525660520800227,1.2258492110016384,15.01104017399999,28.893483625691974,-13.882443451691984,-12.858697411056141,3,66.7,21,55,35
W8,META,2023-07-01,2023-12-31,2024-01-01,2024-06-30,1.3033720831502649,1.4008243875515838,29.438766495999992,45.60628375061364,-16.16751725461365,-16.678142540674784,2,100.0,28,55,35
W8,TSLA,2023-07-01,2023-12-31,2024-01-01,2024-06-30,-0.08567487901707677,-0.9745744616540196,-16.67966219350009,-20.34457773126157,3.6649155377614804,-25.8426035476499,6,16.7,14,55,45
W9,NVDA,2024-01-01,2024-06-30,2024-07-01,2024-12-31,-0.016933014679953437,-0.7612432612816744,-13.38037228950002,10.611423974255851,-23.991796263755873,-22.601417954522773,5,20.0,21,55,42
W9,AAPL,2024-01-01,2024-06-30,2024-07-01,2024-12-31,1.3729257085440427,-0.5880759888100018,-4.016903833000063,16.355247981545553,-20.372151814545617,-16.92648877906456,4,25.0,21,58,35
W9,MSFT,2024-01-01,2024-06-30,2024-07-01,2024-12-31,2.036163117260924,-1.469466237940865,-9.572095315000018,-6.984432815886854,-2.587662499113164,-14.785494570724623,5,20.0,21,55,42
W9,GOOGL,2024-01-01,2024-06-30,2024-07-01,2024-12-31,1.71124816383314,0.47699538498843214,5.929630676499986,4.508443084321545,1.4211875921784412,-7.729578422211763,3,66.7,14,65,42
W9,AMZN,2024-01-01,2024-06-30,2024-07-01,2024-12-31,2.011241592176577,1.2330016936982073,15.522596991999983,12.221095334685605,3.301501657314377,-7.93058979400572,2,50.0,28,55,35
W9,META,2024-01-01,2024-06-30,2024-07-01,2024-12-31,2.184337325717065,-0.009454120829878765,0.5337918604999548,17.151462312752642,-16.61767045225269,-15.942535182798512,6,50.0,14,55,42
W9,TSLA,2024-01-01,2024-06-30,2024-07-01,2024-12-31,0.5210291377891927,1.5101299874085439,46.19703631800001,98.89926617745164,-52.70222985945163,-25.2277714533211,3,33.3,21,55,42
W10,NVDA,2024-07-01,2024-12-31,2025-01-01,2025-06-30,0.017271795473040863,-1.1394730816503158,-22.11604043150004,14.055382835659035,-36.17142326715907,-45.76495756077862,4,25.0,28,55,35
W10,AAPL,2024-07-01,2024-12-31,2025-01-01,2025-06-30,1.0317290090211029,-2.940568014782805,-13.379162995500026,-17.53947098626204,4.160307990762012,-13.379162995500025,5,20.0,14,58,45
W10,MSFT,2024-07-01,2024-12-31,2025-01-01,2025-06-30,-0.5293862233494834,1.7194925660452816,18.82818992749995,18.481532801376076,0.34665712612387267,-11.19916561947695,2,50.0,28,55,35
W10,GOOGL,2024-07-01,2024-12-31,2025-01-01,2025-06-30,1.1790385068588638,-1.694341237621334,-15.988527987500023,-5.754104418518713,-10.23442356898131,-19.434304294137796,7,14.3,14,58,42
W10,AMZN,2024-07-01,2024-12-31,2025-01-01,2025-06-30,1.4425439845040957,1.1422093975144796,13.3513638925,1.3986013986013957,11.952762493898604,-12.969442721544036,2,50.0,21,55,35
W10,META,2024-07-01,2024-12-31,2025-01-01,2025-06-30,0.9823400765728604,2.928075829374375,39.18447012899999,22.426740538014812,16.75772959098518,-10.75418362796615,2,100.0,21,55,35
W10,TSLA,2024-07-01,2024-12-31,2025-01-01,2025-06-30,1.8417512887062903,-0.5674066531559104,-12.378195245000024,-14.672537439358779,2.294342194358755,-29.23464688493407,5,20.0,14,55,45
